exercise_name,group,current_involvement,reviewed_involvement,status,reviewer,reviewed_date,changes_made,notes
Cross-Body Single-Arm Cable Triceps Extension,arms,triceps:1.0,"triceps:primary, subscapularis:secondary, pectorals:secondary, forearms:stabilizer, abs:stabilizer",done,Codex,2026-07-19,converted reviewed tiers to roles; applied biomechanics remediation,"Triceps pushdown/press mapping follows triceps EMG and elbow-extension anatomy: triceps are primary, forearms stabilize the handle/grip, and abs brace standing cable posture. Final catalog uses primary/secondary/stabilizer roles; stabilizers receive no hard-set volume credit."
Cable Triceps Kickback,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, forearms:stabilizer, lowerBack:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added forearms:0.2; added lowerBack:0.2,"Triceps kickback mapping keeps triceps primary, adds deltoid shoulder-extension/isometric stabilization, forearm grip, and trace lowerBack for bent-over torso support."
Single-Arm Cable Triceps Press,arms,triceps:1.0,"triceps:primary, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added forearms:0.2; added abs:0.2,"Triceps pushdown/press mapping follows triceps EMG and elbow-extension anatomy: triceps are primary, forearms stabilize the handle/grip, and abs brace standing cable posture."
Chair Dip,arms,"triceps:1.0, pectorals:0.4, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, lats:stabilizer, traps:stabilizer, serratus:stabilizer, abs:stabilizer",done,Codex,2026-07-19,added lats:0.2; added traps:0.2; added serratus:0.2; added abs:0.2,"Bench/triceps dip mapping uses triceps-dip mechanics: triceps are primary, pectorals/anterior deltoids assist, and lats/traps/serratus/trunk stabilize shoulder depression and body position."
Close-Grip Barbell Bench Press,arms,"triceps:1.0, pectorals:0.7, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-07-19,added biceps:0.2,"Close-grip press mapping follows ExRx close-grip push-up/close-grip bench mechanics: triceps are primary, pectorals remain a major synergist, anterior deltoids assist, and biceps stabilizes trace elbow/shoulder control."
Close-Grip Push-Up,arms,"pectorals:1.0, triceps:1.0, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, serratus:secondary, abs:secondary, obliques:stabilizer, quads:stabilizer, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-07-19,reweighted pectorals 1.0->0.7; added serratus:0.4; added abs:0.4; added obliques:0.2; added quads:0.2; added lowerBack:0.2; added biceps:0.2,"Close-grip/diamond push-up mapping follows ExRx close-grip push-up: triceps are primary, pectorals and anterior deltoids assist, serratus and trunk muscles stabilize the plank, and biceps contributes trace dynamic stabilization."
Shoulder-Elevated Dumbbell Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Two-Handed Kettlebell Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Cross-Body Dumbbell Hammer Curl,arms,"biceps:1.0, forearms:0.7","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Hammer-curl mapping keeps biceps high because the app's biceps bucket includes brachialis, while forearms are major for brachioradialis and neutral-grip wrist stabilization."
Dumbbell Wrist Extension,arms,forearms:1.0,forearms:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Wrist curl, reverse wrist curl, grip, and pinch-hold mappings are forearm-isolation patterns targeting wrist/finger flexors or extensors in the app's forearms bucket."
Dead Hang,arms,"forearms:1.0, lats:0.7, teresMajor:0.4, biceps:0.2, deltoids:0.2","forearms:primary, lats:secondary, teresMajor:secondary, biceps:stabilizer, deltoids:stabilizer, traps:stabilizer, rhomboids:stabilizer, abs:stabilizer",done,Codex,2026-06-27,reweighted lats 0.7->0.4; added traps:0.2; added rhomboids:0.2; added abs:0.2,"Hang/fingerboard mapping treats grip/forearms as primary, with lats/teres and scapular stabilizers maintaining shoulder position, biceps assisting elbow/shoulder control, and abs bracing body position."
Diamond Push-Up,arms,"triceps:1.0, pectorals:0.7, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, serratus:secondary, abs:secondary, obliques:stabilizer, quads:stabilizer, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-07-19,added serratus:0.4; added abs:0.4; added obliques:0.2; added quads:0.2; added lowerBack:0.2; added biceps:0.2,"Close-grip/diamond push-up mapping follows ExRx close-grip push-up: triceps are primary, pectorals and anterior deltoids assist, serratus and trunk muscles stabilize the plank, and biceps contributes trace dynamic stabilization."
Two-Bench Dip,arms,"triceps:1.0, pectorals:0.4, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, lats:stabilizer, traps:stabilizer, serratus:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added lats:0.2; added traps:0.2; added serratus:0.2; added abs:0.2,"Bench/triceps dip mapping uses triceps-dip mechanics: triceps are primary, pectorals/anterior deltoids assist, and lats/traps/serratus/trunk stabilize shoulder depression and body position."
Cable Drag Pushdown,arms,triceps:1.0,"triceps:primary, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added forearms:0.2; added abs:0.2,"Triceps pushdown/press mapping follows triceps EMG and elbow-extension anatomy: triceps are primary, forearms stabilize the handle/grip, and abs brace standing cable posture."
Dumbbell Biceps Curl to Press,arms,"biceps:1.0, deltoids:1.0, triceps:0.7, traps:0.4","biceps:primary, deltoids:primary, triceps:secondary, forearms:secondary, traps:secondary, serratus:secondary, pectorals:secondary, abs:secondary, obliques:stabilizer",done,Codex,2026-06-27,added forearms:0.4; added serratus:0.4; added pectorals:0.4; added abs:0.4; added obliques:0.2,"Curl-to-press mapping combines reviewed curl and overhead-press rules: biceps and deltoids are co-primary, triceps presses, forearms grip, serratus/traps/pectorals assist overhead/scapular mechanics, and trunk braces."
Dumbbell Cheat Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Close-Grip Dumbbell Bench Press,arms,"triceps:1.0, pectorals:0.7, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Close-grip press mapping follows ExRx close-grip push-up/close-grip bench mechanics: triceps are primary, pectorals remain a major synergist, anterior deltoids assist, and biceps stabilizes trace elbow/shoulder control."
Dumbbell Concentration Curl,arms,biceps:1.0,"biceps:primary, forearms:stabilizer",done,Codex,2026-06-27,added forearms:0.2,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly. Concentration setup reduces whole-hand stabilization compared with standing curls."
Dumbbell Drag Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Dumbbell Farmer's Carry,arms,"forearms:1.0, traps:1.0, glutes:0.7, quads:0.7, abs:0.4, obliques:0.4","forearms:primary, traps:primary, abs:secondary, obliques:secondary, gluteMax:secondary, gluteMed:secondary, lowerBack:secondary, quads:stabilizer",done,Codex,2026-07-19,reweighted glutes 0.7->0.4; reweighted quads 0.7->0.2; added lowerBack:0.4,"Farmer carry mapping keeps forearms/traps primary for grip and load support, with abs/obliques/lowerBack/glutes/quads stabilizing gait."
Incline Dumbbell Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Wide-Grip Dumbbell Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Dumbbell Preacher Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Dumbbell Tate Press,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added forearms:0.2,Skull-crusher/lying extension mapping keeps triceps primary with trace shoulder and grip stabilization from deltoids and forearms.
20 mm Edge Fingerboard Hang,arms,"forearms:1.0, lats:0.4, biceps:0.4, teresMajor:0.4","forearms:primary, lats:secondary, biceps:secondary, teresMajor:secondary, traps:stabilizer, rhomboids:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added traps:0.2; added rhomboids:0.2; added abs:0.2,"Hang/fingerboard mapping treats grip/forearms as primary, with lats/teres and scapular stabilizers maintaining shoulder position, biceps assisting elbow/shoulder control, and abs bracing body position."
Floor Dip,arms,"triceps:1.0, pectorals:0.4, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, lats:stabilizer, traps:stabilizer, serratus:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added lats:0.2; added traps:0.2; added serratus:0.2; added abs:0.2,"Bench/triceps dip mapping uses triceps-dip mechanics: triceps are primary, pectorals/anterior deltoids assist, and lats/traps/serratus/trunk stabilize shoulder depression and body position."
Barbell Floor Skull Crusher,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added forearms:0.2,Skull-crusher/lying extension mapping keeps triceps primary with trace shoulder and grip stabilization from deltoids and forearms.
Dumbbell Hammer Curl,arms,"biceps:1.0, forearms:0.7","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Hammer-curl mapping keeps biceps high because the app's biceps bucket includes brachialis, while forearms are major for brachioradialis and neutral-grip wrist stabilization."
Cable Hammer Curl,arms,"biceps:1.0, forearms:0.7","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Hammer-curl mapping keeps biceps high because the app's biceps bucket includes brachialis, while forearms are major for brachioradialis and neutral-grip wrist stabilization."
Hand Gripper Squeeze,arms,forearms:1.0,forearms:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Wrist curl, reverse wrist curl, grip, and pinch-hold mappings are forearm-isolation patterns targeting wrist/finger flexors or extensors in the app's forearms bucket."
High-Cable Cross-Body Triceps Extension,arms,triceps:1.0,"triceps:primary, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added forearms:0.2; added abs:0.2,"Triceps pushdown/press mapping follows triceps EMG and elbow-extension anatomy: triceps are primary, forearms stabilize the handle/grip, and abs brace standing cable posture."
Incline Close-Grip Barbell Bench Press,arms,"triceps:1.0, pectorals:0.7, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Close-grip press mapping follows ExRx close-grip push-up/close-grip bench mechanics: triceps are primary, pectorals remain a major synergist, anterior deltoids assist, and biceps stabilizes trace elbow/shoulder control."
Incline Dumbbell Skull Crusher,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added forearms:0.2,Skull-crusher/lying extension mapping keeps triceps primary with trace shoulder and grip stabilization from deltoids and forearms.
JM Press,arms,"triceps:1.0, pectorals:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,reweighted pectorals 0.4->0.7; added deltoids:0.4; added biceps:0.2,"Close-grip press mapping follows ExRx close-grip push-up/close-grip bench mechanics: triceps are primary, pectorals remain a major synergist, anterior deltoids assist, and biceps stabilizes trace elbow/shoulder control."
Lying Dumbbell Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Prone Incline Dumbbell Triceps Kickback,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, forearms:stabilizer, lowerBack:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added forearms:0.2; added lowerBack:0.2,"Triceps kickback mapping keeps triceps primary, adds deltoid shoulder-extension/isometric stabilization, forearm grip, and trace lowerBack for bent-over torso support."
Single-Arm Overhead Cable Triceps Extension,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, traps:stabilizer, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added traps:0.2; added forearms:0.2; added abs:0.2,Overhead triceps extension mapping keeps triceps primary and adds trace deltoids/traps/forearms/abs because the shoulder is flexed overhead and the trunk stabilizes the long-head-biased position.
Single-Arm Kettlebell Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Overhand-Grip Cable Biceps Curl,arms,"biceps:1.0, forearms:1.0, deltoids:0.2","biceps:primary, forearms:primary",done,Codex,2026-06-27,removed deltoids,Reverse/pronated curl mapping shifts primary credit to forearms because brachioradialis and wrist extensors dominate more while biceps/brachialis remain major elbow flexors. Cable overhand curl keeps both elbow-flexor and forearm demand high.
Overhead Cable Triceps Extension,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, traps:stabilizer, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added traps:0.2; added forearms:0.2; added abs:0.2,Overhead triceps extension mapping keeps triceps primary and adds trace deltoids/traps/forearms/abs because the shoulder is flexed overhead and the trunk stabilizes the long-head-biased position.
Plate Pinch Hold,arms,forearms:1.0,forearms:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Wrist curl, reverse wrist curl, grip, and pinch-hold mappings are forearm-isolation patterns targeting wrist/finger flexors or extensors in the app's forearms bucket."
Torso-Away Single-Arm Dumbbell Preacher Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Torso-Toward Single-Arm Dumbbell Preacher Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Barbell Preacher Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Reverse-Grip Barbell Biceps Curl,arms,"biceps:1.0, forearms:0.7","forearms:primary, biceps:secondary",done,Codex,2026-06-27,reweighted biceps 1.0->0.7; reweighted forearms 0.7->1.0,Reverse/pronated curl mapping shifts primary credit to forearms because brachioradialis and wrist extensors dominate more while biceps/brachialis remain major elbow flexors.
Reverse-Grip EZ-Bar Cable Biceps Curl,arms,"biceps:1.0, forearms:0.7","forearms:primary, biceps:secondary",done,Codex,2026-06-27,reweighted biceps 1.0->0.7; reweighted forearms 0.7->1.0,Reverse/pronated curl mapping shifts primary credit to forearms because brachioradialis and wrist extensors dominate more while biceps/brachialis remain major elbow flexors.
Close-Grip Reverse Barbell Preacher Curl,arms,"biceps:1.0, forearms:0.7","forearms:primary, biceps:secondary",done,Codex,2026-06-27,reweighted biceps 1.0->0.7; reweighted forearms 0.7->1.0,Reverse/pronated curl mapping shifts primary credit to forearms because brachioradialis and wrist extensors dominate more while biceps/brachialis remain major elbow flexors.
Ring Dip,arms,"triceps:1.0, pectorals:0.7, deltoids:0.4","pectorals:primary, triceps:primary, deltoids:secondary, serratus:stabilizer, lats:stabilizer, traps:stabilizer, abs:stabilizer, obliques:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,reweighted pectorals 0.7->1.0; added serratus:0.2; added lats:0.2; added traps:0.2; added abs:0.2; added obliques:0.2; added forearms:0.2,"Dip mapping uses ExRx dip mechanics and dip EMG references: chest-oriented dips load pectorals and triceps as co-primary movers, anterior deltoids assist, and lats/traps/serratus/trunk stabilize the shoulder girdle and body position. Ring/TRX instability adds forearm and oblique stabilization."
Ring Support Hold,arms,"pectorals:1.0, triceps:1.0, deltoids:0.7, serratus:0.4, abs:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, serratus:secondary, abs:secondary, obliques:stabilizer, lats:stabilizer, traps:stabilizer, forearms:stabilizer",done,Codex,2026-07-19,reweighted pectorals 1.0->0.7; reweighted serratus 0.4->0.7; added obliques:0.2; added lats:0.2; added traps:0.2; added forearms:0.2,"Static support/plank mapping combines push-up support and core mechanics: abs are primary, serratus and trunk stabilizers brace, and pectorals/deltoids/triceps support the shoulder girdle. Rings add support instability and shoulder depression demand."
Rocking Cable Triceps Pushdown,arms,triceps:1.0,"triceps:primary, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added forearms:0.2; added abs:0.2,"Triceps pushdown/press mapping follows triceps EMG and elbow-extension anatomy: triceps are primary, forearms stabilize the handle/grip, and abs brace standing cable posture."
Seated Dumbbell Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Seated Dumbbell Overhead Triceps Extension,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, traps:stabilizer, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added traps:0.2; added forearms:0.2; added abs:0.2,Overhead triceps extension mapping keeps triceps primary and adds trace deltoids/traps/forearms/abs because the shoulder is flexed overhead and the trunk stabilizes the long-head-biased position.
Seated Dumbbell W Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Single-Arm Cable Triceps Pushdown,arms,triceps:1.0,"triceps:primary, forearms:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added forearms:0.2; added abs:0.2,"Triceps pushdown/press mapping follows triceps EMG and elbow-extension anatomy: triceps are primary, forearms stabilize the handle/grip, and abs brace standing cable posture."
Single-Arm Dumbbell Preacher Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Dumbbell Skull Crusher,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added forearms:0.2,Skull-crusher/lying extension mapping keeps triceps primary with trace shoulder and grip stabilization from deltoids and forearms.
EZ-Bar Skull Crusher,arms,triceps:1.0,"triceps:primary, deltoids:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added deltoids:0.2; added forearms:0.2,Skull-crusher/lying extension mapping keeps triceps primary with trace shoulder and grip stabilization from deltoids and forearms.
Fingerboard Sloper Hang,arms,"forearms:1.0, lats:0.4, biceps:0.4","forearms:primary, lats:secondary, biceps:secondary, teresMajor:secondary, traps:stabilizer, rhomboids:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added teresMajor:0.4; added traps:0.2; added rhomboids:0.2; added abs:0.2,"Hang/fingerboard mapping treats grip/forearms as primary, with lats/teres and scapular stabilizers maintaining shoulder position, biceps assisting elbow/shoulder control, and abs bracing body position."
Close-Grip Smith Machine Bench Press,arms,"triceps:1.0, pectorals:0.7, deltoids:0.4","triceps:primary, pectorals:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Close-grip press mapping follows ExRx close-grip push-up/close-grip bench mechanics: triceps are primary, pectorals remain a major synergist, anterior deltoids assist, and biceps stabilizes trace elbow/shoulder control."
Dumbbell Spider Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
Standing Wrist Roller,arms,forearms:1.0,forearms:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Wrist curl, reverse wrist curl, grip, and pinch-hold mappings are forearm-isolation patterns targeting wrist/finger flexors or extensors in the app's forearms bucket."
Straight-Bar Cable Biceps Curl,arms,"biceps:1.0, forearms:0.4","biceps:primary, forearms:secondary",done,Codex,2026-06-27,no mapping change; reviewed and confirmed,"Curl mapping follows biceps-curl EMG and elbow-flexor anatomy: biceps/brachialis are primary in the app's biceps bucket, brachioradialis and wrist flexor/extensor stabilization are represented by forearms, and supported/machine variants reduce grip demand slightly."
